Distance of Bounds (nm),Elemental Excess (atoms/nm2)
2.3811999999999784,0.5447601102583048
3.9686000000000092,1.1310663330489479
6.349799999999988,2.4113290275102157
7.937199999999962,2.8860183265190273
10.318399999999997,3.7495203298691036
11.9058,4.492130374923009
14.286999999999978,5.262105143200474
15.87439999999998,5.85585557508308
18.255600000000015,6.479650456264533
19.843000000000018,6.882324824722764
22.224199999999996,7.421637192456098
23.8116,7.755314488765837
26.192800000000005,8.060500485388538
27.780200000000036,8.208287528065442
30.161399999999986,8.228580024700625
31.74879999999999,8.075982391901798
34.130000000000024,8.220625144076847
35.7174,8.364326148812063
38.098600000000005,8.34373792190058
39.68600000000001,7.912018727217863
42.067199999999985,7.301224199343139
43.65459999999999,7.000720021774477
46.035799999999995,6.34758874863678
47.6232,5.806878421333734
50.004399999999976,4.9335227414518155
52.38560000000001,4.18027706116924
53.97300000000001,3.905727287473208
56.35419999999999,3.32336203704702
57.941599999999994,2.994746112199994
60.3228,2.1386698580838104
61.91020000000003,1.9655631745821869
64.29139999999998,1.6069041404934628
65.87879999999998,1.3065886465489116
68.26000000000002,0.5440167831236898
69.84740000000002,0.2484390273964498
72.2286,-0.21031073591998045
73.816,-0.7114242976057057
76.19720000000001,-1.425602406661504
77.78479999999999,-1.8262348384689204
80.16579999999999,-2.310924092134355
81.7534,-2.804114715817645
84.1344,-3.405878258112196
85.72189999999998,-4.110357537463242
88.10300000000001,-5.1916213583978434
89.69059999999999,-5.791486774546756
92.07159999999999,-6.247104535725019
93.6592,-6.656731491435553
96.0403,-7.35546186453617
97.62779999999998,-7.834470949882996
100.00900000000001,-8.773219035737217
102.38999999999999,-9.431867152921019
103.9776,-9.992189692048576
106.35859999999997,-10.983847850519554
107.9461,-11.634817537276367
110.3272,-12.578983038836682
111.91479999999999,-12.977388356624159
114.29579999999999,-13.543675529757085
115.88330000000002,-14.014580092729176
118.26440000000002,-14.628656830317556
119.852,-15.29144030792862
122.2332,-16.157384527403956
123.8206,-16.64343213644976
126.20169999999999,-17.48075372039282
127.78920000000002,-17.980413291357063
130.17039999999997,-18.87665196761108
131.75780000000003,-19.436113901786424
134.139,-19.89382668658152
135.72640000000004,-20.15074256563509
138.1076,-20.91520686211456
139.69500000000005,-20.947920476179075
142.07620000000003,-21.111251541180405
143.66359999999997,-21.323062147556925
146.04480000000004,-21.321441349038583
147.63219999999995,-21.193687842479655
150.0134,-21.255830106682012
152.39460000000003,-21.427487526161165
153.982,-21.461788983737872
156.3631,-21.474671486860178
157.9506,-21.4607212389649
160.3318,-21.574160205055176
161.9192,-21.885371714573136
164.3004,-21.85143231335038
165.88780000000003,-21.71590288522031
168.269,-21.225446148100847
169.8564,-21.164328206973728
172.2376,-20.89971074248633
173.82500000000005,-20.791823670189846
176.20620000000002,-20.773150771344266
177.79359999999997,-20.62361023589524
180.17478000000003,-20.7762714093377
181.76220999999998,-21.099738058862222
184.14338999999998,-21.321834767204173
185.73081,-21.285304269846712
188.11199,-21.3686158771794
189.69941,-21.525912180467532
192.08059000000003,-21.845931973166756
193.66800999999998,-22.043664261784826
196.04920000000004,-22.746150728574467
197.63662,-23.305367855632994
200.01780000000002,-23.8552139577569
201.60522,-24.38162455921529
203.98641000000003,-24.70632915506947
206.36759,-25.086415789529912
207.95501,-25.478321837380165
210.33619,-26.116713107032123
211.92360999999994,-26.424688403216894
214.30479000000003,-26.99775247277978
215.89220999999998,-27.474483980074766
218.27339999999998,-27.8594894614016
219.86082,-28.081443013249682
222.24200000000002,-28.36412522835493
223.82942000000003,-28.46139098925908
226.21061000000003,-28.78901249740491
227.79802999999998,-29.029547159879623
230.17921000000004,-29.30040700958923
231.76663,-29.547396311369475
234.14781,-29.67055930700746
235.73523,-29.526946799218617
238.11641000000003,-29.43157234314585
239.70383999999996,-29.451943000324754
242.08502,-29.83485131159081
243.67244,-30.016792096218516
246.05362,-30.07026030098796
247.64105,-30.322490323785715
250.02222999999995,-30.625758192859898
251.60964,-30.784474326845178
253.99083,-31.377971436992322
256.37201,-31.71436572956076
257.95943,-32.04488858093413
260.34062000000006,-32.60458445038615
