Distance of Bounds (nm),Elemental Excess (atoms/nm2)
2.381099999999975,-0.8518932329880181
3.9686000000000092,-1.5045341456670884
6.349799999999988,-2.537016468794121
7.93719999999999,-2.9964758502827444
10.318399999999997,-3.7744608699558944
11.90579999999997,-4.369334084473068
14.287000000000006,-5.087333139901274
15.874400000000009,-5.428776055047435
18.255599999999987,-5.598010141192104
19.84299999999999,-5.635615593797913
22.224200000000025,-5.7750286964948785
23.8116,-5.650228787885459
26.192799999999977,-5.6060639167518564
27.78030000000001,-5.461071177310682
30.161400000000015,-5.350539841371976
31.74890000000002,-5.320473847987503
34.129999999999995,-5.480032604717196
35.7175,-5.421595432878613
38.098600000000005,-5.262586785142824
39.68610000000004,-5.017761798298979
42.067199999999985,-4.926643750757037
43.65469999999999,-4.585509568863403
46.0359,-4.200183285201431
47.62329999999997,-4.214668665134753
50.00449999999998,-3.9313780414906727
52.38560000000001,-3.931952085870919
53.972999999999985,-4.041690901141536
56.35420000000002,-4.0514206972358195
57.9417,-3.566128215671462
60.32279999999997,-3.1366571814274953
61.91030000000001,-3.137370941191731
64.29140000000001,-3.116994336308615
65.87890000000002,-3.0976815129446345
68.25999999999999,-2.9380567325743163
69.84750000000003,-2.9300553759645256
72.2287,-3.0545194628305663
73.81610000000003,-3.0711124601592443
76.19729999999998,-3.1345858761372676
77.78469999999999,-3.387870038880149
80.1659,-3.379902248793124
81.7533,-3.5671765026977647
84.13449999999997,-3.912645961473425
85.72189999999998,-4.1705736822365225
88.10310000000001,-4.47267918691184
89.69049999999999,-4.378038298396464
92.07169999999999,-4.275248664569629
93.6591,-4.387656695744036
96.0403,-4.843613182866443
97.6277,-5.235335631135937
100.00890000000001,-5.683708078415958
102.39009999999999,-5.704517110092865
103.97750000000002,-5.587098870761748
106.3587,-5.340193315873115
107.94609999999997,-5.524319051350277
110.32730000000001,-5.712282030914152
111.91469999999998,-5.4517076807234455
114.29590000000002,-4.919336622643333
115.88329999999999,-4.965359724807741
118.26450000000001,-5.0550598830050495
119.85189999999999,-5.11892894820077
122.23310000000004,-5.287200120219268
123.82050000000001,-5.335555137659597
126.20169999999997,-5.328546284753243
127.78920000000001,-5.470163798814368
130.1703,-5.668122645300916
131.7577,-5.509795331920764
134.13889999999998,-5.344785455280153
135.72639999999996,-5.230417667682563
138.10750000000002,-5.173823735360313
139.695,-5.090925133377986
142.07609999999994,-5.23343442665507
143.66359999999997,-5.0395156974337345
146.04479999999995,-4.823883089834702
147.6322,-4.5190791599977045
150.0133,-4.237482708999601
152.3945,-3.743481907614493
153.98199999999997,-3.171857076615422
156.36310000000003,-2.8666890826916824
157.9506,-2.678818949345161
160.3317,-2.5957550149125903
161.91910000000001,-2.4072732899986167
164.30029999999994,-2.2711666196653804
165.8878,-2.066824085955603
168.26889999999997,-1.4121046603680676
169.8564,-1.3049961551508371
172.2375,-1.0540238019642625
173.82502000000005,-1.1446027911781458
176.20621,-1.0294122071756764
177.79363,-1.1562840297358468
180.17470999999998,-1.0933894139219487
181.76223000000002,-0.8793786438873089
184.14340999999996,-0.6173557211180672
185.73083000000003,-0.581378361761969
188.11201,-0.05449944544488684
189.69943999999998,0.015812450381301107
192.08062,-0.2673968820844822
193.66804000000002,-0.18136021923449444
196.04921999999996,-0.08280687618540207
197.63664000000003,0.04875803801704579
200.01783,0.011854019579224603
201.60524000000004,-0.05194236211013836
203.98642999999998,0.36485834746517104
206.36760999999996,0.4385889621012425
207.95503000000002,0.42241164985434704
210.33611000000002,0.751034941233893
211.92363999999998,0.7769185367133906
214.30482,1.1869199808460664
215.89224000000002,1.4756490344478355
218.27342,2.25827778343915
219.86085000000003,2.721966584932834
222.24203,2.997454770906213
223.82943999999998,3.1694120353173063
226.21063,3.184051473357873
227.79805,3.3594183668984563
230.17922999999996,3.6598066610626443
231.76665000000003,3.8127514048069493
234.14783999999997,3.9340434891464837
235.73526000000004,3.9475224386837624
238.11644,3.6573945523211857
239.70386000000002,3.5189311720262344
242.08505000000002,3.729913465257611
243.67247000000003,3.8358991739723622
246.05363999999997,4.255730672153856
247.64106999999998,4.334664139072291
250.02225,4.223964369051345
251.60967,4.134203518137689
253.99085000000002,4.1637386399547225
256.37203999999997,3.96236192980249
257.95946,4.0424007860806075
260.34064,4.078496036853864
