Distance of Bounds (nm),Elemental Excess (atoms/nm2)
2.3811999999999784,3.5541246135314557
3.968599999999981,6.0753418929503304
6.349799999999988,10.292265251134326
7.937199999999962,12.955227917867886
10.318399999999997,15.912303216496836
11.9058,17.188193882519567
14.286999999999978,18.79525614061389
15.87439999999998,19.49454393781914
18.255600000000015,19.32055105765738
19.843000000000018,18.909664271549936
22.224199999999996,18.209687719142448
23.8116,17.54815006004558
26.192800000000034,17.136413551938663
27.780200000000008,16.48090344438921
30.161399999999986,14.912279019560925
31.74890000000002,13.72700039041664
34.130000000000024,11.884579062399778
35.71750000000003,10.517653304892717
38.098599999999976,9.01256160690849
39.68610000000001,7.7938625478001375
42.067199999999985,5.8692345246088236
43.65469999999999,4.755415467202554
46.035799999999995,3.1653535442422673
47.62329999999997,1.9585059527444924
50.00449999999998,-0.2677715853419224
52.38560000000001,-2.249150682297223
53.97309999999999,-3.845134028698625
56.35419999999999,-5.787357812558135
57.941599999999994,-7.228717264291999
60.32280000000003,-9.016082801263948
61.91030000000001,-10.746346938761382
64.29139999999998,-13.12273940148509
65.87890000000002,-14.74927537193081
68.26000000000002,-17.19712393582475
69.84750000000003,-18.221768059935478
72.22859999999997,-20.383137461296354
73.81610000000003,-21.871727012245493
76.19729999999998,-23.71843684163932
77.78470000000002,-24.910320078003682
80.1659,-26.71694650007242
81.75329999999997,-27.66808120743689
84.1345,-28.306811355609987
85.72189999999998,-28.843515581389813
88.10309999999998,-30.20012818940955
89.69049999999999,-30.60267218611913
92.07169999999999,-31.253186409213587
93.6591,-31.389761532986498
96.0403,-31.82103185841125
97.6277,-32.372349704051295
100.00890000000001,-32.70168207783742
102.39010000000002,-33.998629794062545
103.97749999999999,-34.80395033286715
106.3587,-35.62271604259708
107.9461,-36.322328529128974
110.32730000000001,-37.607197153542565
111.91469999999998,-38.71955376225594
114.29590000000002,-40.09183454125602
115.88329999999999,-40.91765630043873
118.26450000000003,-42.405268984005986
119.8519,-43.475519173738
122.23309999999996,-44.552000633182274
123.8206,-45.447135279369746
126.20169999999999,-46.76629821779408
127.78909999999999,-47.580234396754356
130.1703,-49.445327229379565
131.75779999999997,-50.505570759799234
134.1389,-52.34705910485506
135.7264,-54.206943935322954
138.10749999999996,-56.11289208714506
139.695,-57.27251771619107
142.07619999999997,-59.30491531390143
143.6636,-60.53400885460401
146.04469999999998,-62.10038079016552
147.6322,-63.650903357983765
150.0134,-66.1287661129159
152.39450000000002,-67.85778083761336
153.982,-68.85035569279323
156.36309999999997,-70.02271410877545
157.95049999999998,-70.95515712261547
160.33169999999996,-72.0025011055974
161.9192,-72.54354086377751
164.3003,-73.18241690887328
165.88780000000003,-73.69658219768206
168.26889999999997,-73.5992884037718
169.85640000000004,-73.12741656385076
172.2376,-72.22209349900695
173.825,-71.65999022250057
176.2061,-70.66603208758562
177.79362000000003,-69.7570640072722
180.17480999999998,-68.19302450617846
181.76223000000005,-67.38081295551002
184.14341,-65.83070300059273
185.73083,-64.90791115507032
188.11201,-63.21555718915385
189.69943,-62.64210002841501
192.08060999999998,-61.65637720536871
193.66804000000002,-61.121161911991145
196.04922,-60.09002454534033
197.63664000000006,-59.43758036741064
200.01782,-58.449264915268515
201.60524,-57.838457411440984
203.98643000000004,-56.74773792763688
206.36751,-55.236718550935166
207.95502999999997,-53.91088227541466
210.33621,-52.3915862931262
211.92363,-51.87309955709795
214.30480999999997,-49.87206696489597
215.89224000000002,-48.3373856385768
218.27342,-46.52585716418024
219.86084,-45.83737645390728
222.24202000000002,-44.96623774486689
223.82945,-43.99748430866788
226.21062999999998,-43.40537466023357
227.79804000000001,-43.0150386960192
230.17923,-41.76996418434497
231.76665000000003,-40.85045825926387
234.14783,-40.15790469443932
235.73525,-40.039182613121326
238.11644,-40.50955215623421
239.70386000000002,-40.759286435306336
242.08504,-40.706622244534465
243.67246,-41.06091202530008
246.05365,-40.57779019283546
247.64107,-40.57425541339838
250.02224,-39.961928663902604
251.60966999999997,-39.56284930808414
253.99085,-39.91412029073538
256.37203,-40.062595032633844
257.95945,-39.889267450649506
260.34064,-40.0087464237331
