Distance of Bounds (nm),Elemental Excess (atoms/nm2)
2.381099999999975,-1.2659756936240842
3.9684999999999775,-2.1822429880612457
6.349700000000013,-3.3781687340565623
7.93719999999999,-4.23174616580879
10.318299999999994,-5.599882352611035
11.905900000000003,-6.372573664487891
14.286900000000031,-7.360702591019849
15.874499999999983,-7.99580543099612
18.255500000000012,-8.78386738625049
19.843099999999993,-9.182885876165464
22.224199999999996,-10.026586280884404
23.811700000000002,-10.646867240542871
26.19290000000001,-11.182313245372521
27.780299999999983,-11.31901596824161
30.161500000000018,-11.659268434759136
31.74890000000002,-12.064585642892723
34.1301,-12.418082828461092
35.7175,-12.503672247429927
38.09870000000001,-12.616145951524496
39.68610000000004,-12.568144204562559
42.06729999999996,-12.564680910167727
43.65469999999999,-12.62471263874407
46.0359,-12.582482869876202
47.6233,-12.56376500615837
50.00449999999998,-12.459783898201085
52.38560000000001,-12.393706394601642
53.97310000000002,-12.305946094514162
56.354299999999995,-12.298969433753205
57.9417,-12.222227983483355
60.32290000000003,-11.902222854200705
61.91030000000001,-11.727253988294828
64.29150000000001,-11.635772955031424
65.87890000000002,-11.541088301647468
68.26010000000002,-11.360259563876767
69.8475,-11.298342674912341
72.2287,-10.903662163256163
73.81610000000003,-10.626542870139396
76.19729999999996,-10.248403212522327
77.78469999999999,-10.027050178145911
80.1659,-9.533495153251527
81.7533,-9.179282397228416
84.13449999999997,-8.545952159275409
85.72189999999998,-8.206082913932413
88.10310000000001,-7.795008213020045
89.69050000000001,-7.4405452284037805
92.07169999999999,-6.99998414623231
93.6591,-6.482148903572379
96.04030000000003,-5.681764773468362
97.62769999999998,-5.276190597833466
100.00890000000001,-4.343935848840906
102.39010000000005,-3.725889945295757
103.97749999999999,-3.3371887609643434
106.35869999999997,-2.840479923632626
107.94610000000003,-2.5368791531889245
110.32730000000001,-2.0435792688432097
111.91469999999998,-1.767308897010054
114.29589999999999,-1.4211199986474468
115.88330000000002,-1.3519433819856825
118.26449999999998,-0.9515092406632994
119.85190000000001,-0.6198866692882516
122.23310000000001,-0.5369597751981233
123.82050000000002,-0.6354291710193642
126.2017,-0.6689999245239583
127.78909999999996,-0.7083222516580097
130.1703,-0.6016387993092529
131.7577,-0.4289789899318882
134.13889999999998,-0.4131907333406226
135.72629999999998,-0.3515365007485007
138.10750000000002,-0.3330168714774337
139.6949,-0.3512681664469911
142.0761,-0.48242643950606523
143.66349999999994,-0.6437363618012774
146.04470000000003,-0.8880257580246451
147.63219999999995,-1.0435213334707818
150.01330000000002,-1.2849848771897634
152.3945,-1.5267034800241006
153.9819,-1.6102629327565434
156.36309999999997,-1.6956982490595682
157.95050000000003,-1.6981074275338541
160.3317,-1.6461762097984225
161.91910000000001,-1.795012795123276
164.30030000000002,-1.8296320259757946
165.88769999999994,-1.851811473858387
168.26890000000003,-2.0993945006386316
169.85629999999998,-2.086348979802128
172.23752000000002,-2.004196205920569
173.82493999999997,-2.1238804902743693
176.20613000000003,-2.258822172978375
177.79363999999998,-2.314157833132378
180.17473000000004,-2.5298374195497466
181.76214999999996,-2.347652065177352
184.14333,-2.077954137592311
185.73084999999998,-2.0876480306725456
188.11204000000004,-2.218895232540426
189.69946,-2.2687887253316164
192.08054000000004,-2.4069857444587606
193.66806000000003,-2.4322276977392443
196.04924000000003,-2.7882124802976676
197.63666999999998,-3.060435280277068
200.01773999999995,-3.2389204884306815
201.60527,-3.516868374435769
203.98644999999993,-3.7917865154863475
206.36753,-3.9260166401361327
207.95504999999997,-4.1746031541922335
210.33614,-4.421945178152297
211.92356,-4.425594454283683
214.30474000000004,-4.814463047157124
215.89226,-5.085460199920214
218.27345000000003,-5.595104539279427
219.86086999999998,-5.799707370123437
222.24194,-6.308193522887894
223.82947,-6.7365263251865315
226.21065,-7.469983082650366
227.79807,-7.900482086626507
230.17925000000002,-8.456172000336391
231.76667999999995,-8.86308697020408
234.14786000000004,-9.106851407011153
235.73528,-9.539770341729033
238.11646000000002,-10.124724701278248
239.70388000000003,-10.474212445871125
242.08506999999997,-10.885034488647447
243.67248000000004,-11.154130806692983
246.05366999999998,-11.34575123335899
247.64109,-11.376841865385547
250.02227,-11.402592511232049
251.60969,-11.423671919110706
253.99086999999997,-11.318134638756941
256.37206000000003,-11.095655644805387
257.95948,-11.08882323752737
260.34065999999996,-10.729204373806985
