Distance of Bounds (nm),Elemental Excess (atoms/nm2)
2.381099999999975,-0.9466474835262362
3.9686000000000092,-1.8498686959840613
6.349799999999988,-2.8768436261747796
7.93719999999999,-3.511189019743747
10.318399999999997,-4.519907790771505
11.90579999999997,-5.130988167189214
14.287000000000006,-6.006105237578431
15.874400000000009,-6.480093329231315
18.255599999999987,-7.171820789978383
19.84299999999999,-7.656833403617033
22.224200000000025,-8.418424586574433
23.8116,-8.714746468273175
26.192799999999977,-9.253724971305841
27.78030000000001,-9.508455210758054
30.161400000000015,-9.578710790523164
31.74890000000002,-9.507828115664497
34.129999999999995,-9.549497926223065
35.7175,-9.635190894579637
38.098600000000005,-9.556280023509094
39.68610000000004,-9.316576169991205
42.067199999999985,-9.058513426227018
43.65469999999999,-8.95910279557526
46.0359,-8.79291252517754
47.62329999999997,-8.551252578802064
50.00449999999998,-8.166174451589066
52.38560000000001,-7.919375262582416
53.972999999999985,-7.903312954230869
56.35420000000002,-8.074919213681081
57.9417,-8.025504301450187
60.32279999999997,-7.983024862005136
61.91030000000001,-7.947857533870187
64.29140000000001,-7.968302494413753
65.87890000000002,-7.865653761968584
68.25999999999999,-7.806414024236002
69.84750000000003,-7.90371809527492
72.2287,-8.20832569934561
73.81610000000003,-8.408551245851903
76.19729999999998,-8.784520536586944
77.78469999999999,-8.929743297784102
80.1659,-9.348195942698272
81.7533,-9.634177576360646
84.13449999999997,-10.287331907193355
85.72189999999998,-10.667521440282414
88.10310000000001,-11.280546899744307
89.69049999999999,-11.666819098074157
92.07169999999999,-12.343403995197255
93.6591,-12.776792114322403
96.0403,-13.444541095417591
97.6277,-13.85489363242908
100.00890000000001,-14.237740886166918
102.39009999999999,-14.876578115576704
103.97750000000002,-15.213083473132702
106.3587,-15.75985793926143
107.94609999999997,-16.001692973145374
110.32730000000001,-16.417656585422247
111.91469999999998,-16.639632794455455
114.29590000000002,-16.750262046688754
115.88329999999999,-16.660717687996602
118.26450000000001,-16.40560646676336
119.85189999999999,-16.170349870821514
122.23310000000004,-16.006193814448665
123.82050000000001,-15.958283154719357
126.20169999999997,-15.927077982654101
127.78920000000001,-15.670325586217578
130.1703,-15.520750914108957
131.7577,-15.37640268645033
134.13889999999998,-15.147697329900979
135.72639999999996,-15.038736341337529
138.10750000000002,-14.948120407644721
139.695,-14.79214406180056
142.07609999999994,-14.578927097049135
143.66359999999997,-14.441688546192523
146.04479999999995,-14.130394537008074
147.6322,-14.05633034228525
150.0133,-14.287167650193991
152.3945,-14.329442770283096
153.98199999999997,-14.162790301975125
156.36310000000003,-13.985246026315611
157.9506,-14.063295145074497
160.3317,-14.044344871169663
161.91910000000001,-14.038618028758782
164.30029999999994,-13.916622064426148
165.8878,-13.920175532573518
168.26889999999997,-14.020736818356315
169.8564,-14.055237334134326
172.2375,-14.071070868038499
173.82502000000005,-13.950733118048039
176.20621,-13.668638950187807
177.79363,-13.754722127089172
180.17470999999998,-13.954002511638919
181.76223000000002,-14.021196392023796
184.14340999999996,-14.017935912865237
185.73083000000003,-14.061350145187443
188.11201,-14.15997029412063
189.69943999999998,-14.313089177463223
192.08062,-14.55349341451685
193.66804000000002,-14.677247952588791
196.04921999999996,-14.588330589629425
197.63664000000003,-14.624415988925037
200.01783,-14.684570262519479
201.60524000000004,-14.85805595029335
203.98642999999998,-14.78068412558423
206.36760999999996,-14.707163711063455
207.95503000000002,-14.859419226034145
210.33611000000002,-14.818532347511086
211.92363999999998,-14.916543546345842
214.30482,-15.008258297555164
215.89224000000002,-15.008528642851369
218.27342,-15.044542667311761
219.86085000000003,-15.128901133551535
222.24203,-14.997691019109837
223.82943999999998,-14.912986088352039
226.21063,-15.096641750133683
227.79805,-15.045659139453798
230.17922999999996,-14.819597385809313
231.76665000000003,-14.763413437771272
234.14783999999997,-14.562500572947101
235.73526000000004,-14.523916378940198
238.11644,-14.558966352022953
239.70386000000002,-14.490328252745153
242.08505000000002,-14.145136641232387
243.67247000000003,-14.132996728059435
246.05363999999997,-14.080086711833685
247.64106999999998,-13.839940419522257
250.02225,-13.785580256241873
251.60967,-13.674512844469682
253.99085000000002,-13.40180649831138
256.37203999999997,-13.211847964074726
257.95946,-13.062319470397332
260.34064,-12.869494879232542
